ticker,direction,flow_score_raw,flow_score_scaled,price_score,final_score,reject_reason,checks_passed,checks_failed,options_context_score,gamma_regime,pattern,net_gex,gamma_flip_level_estimate,nearest_call_wall,nearest_put_wall,distance_to_call_wall_pct,distance_to_put_wall_pct,ticker_call_oi,ticker_put_oi,ticker_put_call_ratio,near_term_oi,swing_dte_oi,long_dated_oi,price_trend,price_extension,price_room,price_pattern,price_candle,price_pullback_vol,price_confirm_vol,entry_price,stop_price,target_1,rr_ratio
AGRO,LONG,0.42155706475975463,4.215570647597547,3.84,4.4798,price_validation_failed,"call_wall_clear, confirmation_volume, near_term_oi_dominant, strong_trend, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout",6.1,NEUTRAL,unknown,,,15.0,7.5,6.31,46.85,22099.0,3073.0,0.139,5764.0,3561.0,11531.0,3.0,0.0,0.16,0.0,0.0,0.0,0.68,,,,
USAR,LONG,0.4121972921342345,4.121972921342345,5.47,5.582,price_validation_failed,"call_wall_clear, confirmation_volume, ema_pullback, gamma_tailwind, healthy_pullback_volume, not_extended, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",9.4,NEGATIVE,unknown,-137072.07,16.23,25.0,15.0,53.94,7.64,404405.0,188041.0,0.465,127258.0,134515.0,96426.0,0.0,0.19,0.38,1.2,0.0,0.7,1.0,,,,
RKLB,LONG,0.40942677548076567,4.094267754807657,3.94,4.7691,price_validation_failed,"call_wall_clear, confirmation_volume, ema_pullback, gamma_tailwind, near_term_oi_dominant, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, pullback_to_support, structural_breakout, trend_aligned",7.7,NEGATIVE,unknown,-1182714.03,67.3,100.0,7.0,48.74,89.59,484326.0,345492.0,0.713,238244.0,40607.0,383762.0,0.0,0.66,0.34,1.2,0.0,0.0,0.75,,,,
CMG,LONG,0.4046433970269144,4.046433970269144,0.0,2.4279,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
JBL,LONG,0.396428139794654,3.9642813979465403,5.18,4.7561,price_validation_failed,"call_wall_clear, confirmation_volume, near_term_oi_dominant, not_extended, room_to_target, structural_breakout, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, pullback_to_support",6.1,NEUTRAL,structural_breakout,,,300.0,240.0,18.28,5.37,32086.0,28445.0,0.887,12080.0,4265.0,13711.0,1.56,0.94,0.0,2.0,0.0,0.0,0.68,,,,
AAOI,LONG,0.38958009507356367,3.895800950735637,0.0,2.3375,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
GLXY,LONG,0.3866205215788709,3.866205215788709,0.0,2.3197,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
DDOG,LONG,0.37460560741783694,3.7460560741783695,5.07,4.494,price_validation_failed,"call_wall_clear, confirmation_volume, ema_pullback, gamma_headwind, gamma_tailwind, healthy_pullback_volume, near_term_oi_dominant, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",5.5,POSITIVE,unknown,446419.86,125.08,150.0,95.0,19.92,24.05,157136.0,137184.0,0.873,71325.0,56997.0,78754.0,0.0,0.93,0.99,1.2,0.0,1.0,0.96,,,,
SQQQ,LONG,0.36870775934536426,3.6870775934536426,4.82,4.7095,price_validation_failed,"call_wall_clear, ema_pullback, healthy_pullback_volume, near_term_oi_dominant, not_extended, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout",7.1,NEUTRAL,unknown,,,90.0,65.0,12.15,19.0,159466.0,81567.0,0.512,91644.0,33503.0,29955.0,2.05,0.03,0.0,1.2,0.56,0.7,0.27,,,,
WULF,LONG,0.36537833087926963,3.653783308792696,6.65,5.1019,price_validation_failed,"call_wall_clear, confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended, swing_dte_dominant, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, room_to_target, structural_breakout",6.4,POSITIVE,unknown,11841373.45,15.12,20.0,11.0,32.45,27.15,1285698.0,775392.0,0.603,443760.0,501692.0,572500.0,1.53,0.92,0.0,1.2,0.0,0.66,0.34,,,,
CRWD,LONG,0.3438577394584664,3.438577394584664,0.0,2.0631,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
ULTA,LONG,0.3425,3.4250000000000003,0.0,2.055,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
MU,LONG,0.3387448853550491,3.3874488535504907,0.0,2.0325,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
VST,LONG,0.33773796053244254,3.3773796053244256,0.0,2.0264,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
UVXY,LONG,0.3367810987489566,3.367810987489566,6.01,4.9269,price_validation_failed,"bullish_strong_close, call_wall_clear, ema_pullback, healthy_pullback_volume, near_term_oi_dominant, not_extended, strong_trend, trend_aligned","bounce_and_fail, bullish_rejection_wick, confirmation_volume, flag_breakout, pullback_to_support, room_to_target, structural_breakout",7.2,NEUTRAL,unknown,,,75.0,35.0,38.63,35.3,161251.0,87246.0,0.541,96040.0,54969.0,28278.0,2.52,0.24,0.1,1.2,0.82,0.87,0.27,,,,
CRK,LONG,0.330521147057948,3.30521147057948,6.98,5.2866,price_validation_failed,"call_wall_clear, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support, swing_dte_dominant, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, room_to_target, structural_breakout",7.7,NEUTRAL,pullback_to_support,,,35.0,8.0,61.36,63.12,47991.0,24541.0,0.511,4998.0,16815.0,36552.0,1.55,0.54,0.0,1.4,0.0,0.6,0.89,,,,
ALAB,LONG,0.33,3.3000000000000003,0.0,1.98,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
MRVL,LONG,0.32096921130424405,3.2096921130424407,0.0,1.9258,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
FCX,LONG,0.307267476554338,3.07267476554338,5.22,4.8623,price_validation_failed,"call_wall_clear, gamma_tailwind, healthy_pullback_volume, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, not_extended, structural_breakout, trend_aligned",8.8,NEGATIVE,pullback_to_support,-5046156.16,,65.0,35.0,24.78,32.81,749348.0,663996.0,0.886,144250.0,349865.0,507848.0,0.0,0.0,1.0,1.4,0.0,0.54,0.28,,,,
CRM,LONG,0.30725518412279607,3.072551841227961,0.0,1.8435,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
TEM,LONG,0.30476455385811085,3.0476455385811088,0.0,1.8286,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
OPEN,LONG,0.2969485746149083,2.969485746149083,5.75,4.4897,price_validation_failed,"call_wall_clear, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, structural_breakout, trend_aligned",6.4,POSITIVE,pullback_to_support,1394038.83,4.92,7.0,4.0,42.57,18.53,615813.0,212161.0,0.345,159344.0,176468.0,312440.0,0.0,0.74,0.46,1.4,0.0,1.0,0.15,,,,
DVA,LONG,0.29002676202406846,2.9002676202406845,5.58,4.0641,price_validation_failed,"call_wall_clear, healthy_pullback_volume, near_term_oi_dominant, not_extended, pullback_to_support, trend_aligned","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, room_to_target, structural_breakout",4.7,NEUTRAL,pullback_to_support,,,160.0,110.0,7.16,26.33,15242.0,21495.0,1.41,2978.0,16.0,15361.0,2.15,0.96,0.09,1.4,0.0,0.68,0.3,,,,
DAL,LONG,0.2892160807095798,2.8921608070957983,0.0,1.7353,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
GS,LONG,0.2856766190476191,2.8567661904761907,0.0,1.7141,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
SBUX,LONG,0.27597803780572894,2.7597803780572896,0.0,1.6559,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
VRT,LONG,0.27289311326920695,2.7289311326920695,0.0,1.6374,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
META,LONG,0.2691598231964583,2.691598231964583,5.67,4.9268,price_validation_failed,"call_wall_clear, confirmation_volume, gamma_tailwind, healthy_pullback_volume, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, not_extended, structural_breakout, trend_aligned",9.4,NEGATIVE,pullback_to_support,-162388.63,593.42,700.0,500.0,17.91,15.78,1424810.0,921015.0,0.646,397445.0,664060.0,859859.0,0.0,0.0,1.0,1.4,0.0,0.55,0.73,,,,
GOOG,LONG,0.2683724198669805,2.6837241986698053,0.0,1.6102,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
PLTR,LONG,0.2663794285714286,2.6637942857142862,0.0,1.5983,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
ZS,LONG,0.26197399022214574,2.6197399022214576,0.0,1.5718,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
SCHW,LONG,0.2609401552051197,2.609401552051197,0.0,1.5656,weak_bullish_flow,none,"bounce_and_fail, bullish_rejection_wick, bullish_strong_close, confirmation_volume, flag_breakout, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, structural_breakout, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
CEG,LONG,0.2600393886833568,2.600393886833568,5.27,4.2612,price_validation_failed,"call_wall_clear, confirmation_volume, ema_pullback, healthy_pullback_volume, not_extended, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, room_to_target, structural_breakout, trend_aligned",6.9,NEUTRAL,unknown,,,310.0,200.0,9.93,29.08,99079.0,122560.0,1.237,31438.0,84007.0,57088.0,0.0,0.14,0.1,1.2,0.0,0.94,0.89,,,,
EBAY,LONG,0.25437115482271067,2.5437115482271064,2.69,2.7589,price_validation_failed,"call_wall_near, confirmation_volume, ema_pullback, healthy_pullback_volume, near_term_oi_dominant, not_extended, room_to_target","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, pullback_to_support, structural_breakout, trend_aligned",3.4,NEUTRAL,unknown,,,90.0,80.0,1.15,10.09,78887.0,77005.0,0.976,23542.0,18869.0,41570.0,0.0,0.79,0.95,1.2,0.0,0.74,1.0,,,,
CDE,LONG,0.2502364866460742,2.502364866460742,5.26,4.0492,price_validation_failed,"call_wall_clear, confirmation_volume, gamma_headwind, gamma_tailwind, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, healthy_pullback_volume, not_extended, structural_breakout, trend_aligned",6.1,POSITIVE,pullback_to_support,607818.34,17.66,30.0,17.5,69.78,0.96,389598.0,98628.0,0.253,53458.0,120024.0,179829.0,0.0,0.0,1.0,1.4,0.0,0.24,0.62,,,,
NVDA,LONG,0.24709278364557738,2.4709278364557736,5.68,4.1195,price_validation_failed,"call_wall_clear, confirmation_volume, healthy_pullback_volume, not_extended, pullback_to_support, room_to_target, swing_dte_dominant","bounce_and_fail, bullish_rejection_wick, bullish_strong_close, flag_breakout, structural_breakout, trend_aligned",5.9,POSITIVE,pullback_to_support,76483.45,172.75,200.0,140.0,15.81,18.93,9319996.0,7821295.0,0.839,2658245.0,3738327.0,7325137.0,0.0,0.19,1.0,1.4,0.0,0.72,0.37,,,,
CVI,SHORT,0.6183333333333334,6.183333333333334,3.19,5.2487,price_validation_failed,"confirmation_volume, near_term_oi_dominant, pullback_to_resistance, put_wall_clear, room_to_target","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, structural_breakdown, trend_aligned",6.0,NEUTRAL,pullback_to_resistance,,,35.0,25.0,3.49,26.08,25564.0,9922.0,0.388,9509.0,2463.0,9315.0,0.0,0.0,1.0,1.4,0.0,0.0,0.79,,,,
PL,SHORT,0.6145946815410613,6.145946815410613,4.4,5.273,price_validation_failed,"bearish_rejection_wick, confirmation_volume, gamma_headwind, gamma_tailwind, near_term_oi_dominant, pullback_to_resistance, put_wall_clear, room_to_target","bearish_strong_close, bounce_and_fail, flag_breakdown, healthy_pullback_volume, not_extended, structural_breakdown, trend_aligned",4.4,POSITIVE,pullback_to_resistance,1346110.36,33.84,35.0,15.0,3.46,55.66,155861.0,96208.0,0.617,67937.0,31615.0,97070.0,0.0,0.0,1.0,1.4,1.0,0.0,1.0,,,,
RVMD,SHORT,0.6066155877825912,6.066155877825912,0.0,3.6397,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
CRM,SHORT,0.5469110290850058,5.4691102908500575,0.0,3.2815,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
LYV,SHORT,0.5403184565682556,5.403184565682556,5.26,5.6396,price_validation_failed,"bearish_strong_close, confirmation_volume, flag_breakdown, healthy_pullback_volume, near_term_oi_dominant, not_extended, put_wall_clear, room_to_target","bearish_rejection_wick, bounce_and_fail, pullback_to_resistance, structural_breakdown, trend_aligned",6.8,NEUTRAL,flag_breakdown,,,180.0,120.0,20.93,19.38,76306.0,84698.0,1.11,22345.0,17116.0,93789.0,0.0,0.31,0.64,1.6,0.98,1.0,0.72,,,,
DAL,SHORT,0.5105548161671066,5.1055481616710665,6.94,6.1748,price_validation_failed,"ema_rally, gamma_tailwind, near_term_oi_dominant, not_extended, put_wall_clear, room_to_target, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, pullback_to_resistance, structural_breakdown",7.7,NEGATIVE,unknown,-9121908.55,,70.0,60.0,10.34,5.42,534488.0,384540.0,0.719,332919.0,201759.0,168535.0,2.0,0.96,0.93,1.2,0.39,0.22,0.24,,,,
CMG,SHORT,0.5074469337506415,5.074469337506415,6.8,6.3172,price_validation_failed,"confirmation_volume, ema_rally, gamma_tailwind, healthy_pullback_volume, not_extended, put_wall_clear, swing_dte_dominant, trend_aligned","bearish_rejection_wick, bearish_strong_close, bounce_and_fail, flag_breakdown, pullback_to_resistance, room_to_target, structural_breakdown",8.7,NEGATIVE,unknown,-20873567.94,,40.0,27.5,19.87,17.59,549899.0,495953.0,0.902,118249.0,270210.0,385496.0,2.09,0.39,0.12,1.2,0.0,0.34,0.66,,,,
BA,SHORT,0.5070463206350906,5.070463206350906,0.0,3.0423,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
GLNG,SHORT,0.5015757964129484,5.015757964129484,0.0,3.0095,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
GPRE,SHORT,0.4932446931495503,4.932446931495503,0.0,2.9595,weak_bearish_flow,none,"bearish_rejection_wick, bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown, trend_aligned",,,unknown,,,,,,,,,,,,,,,,,,,,,,,
ULTA,SHORT,0.47294632468686065,4.729463246868606,4.02,4.7707,price_validation_failed,"bearish_rejection_wick, near_term_oi_dominant, put_wall_clear, strong_trend, trend_aligned","bearish_strong_close, bounce_and_fail, confirmation_volume, flag_breakdown, healthy_pullback_volume, not_extended, pullback_to_resistance, room_to_target, structural_breakdown",6.0,NEUTRAL,unknown,,,640.0,500.0,20.76,5.66,34257.0,23563.0,0.688,13921.0,8954.0,15258.0,2.82,0.0,0.04,0.0,0.64,0.19,0.33,,,,
